"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"1","A","2020-04-16",44,21,23,0,0,"VC"
"2","A","2020-04-08",39,30,9,0,0,"VC"
"3","A","2020-09-02",213,213,0,0,0,"VC"
"4","A","2020-02-01",0,0,0,0,0,"VC"
"5","A","2020-09-23",0,0,0,0,0,"VC"
"6","A","2020-02-15",1,1,0,0,0,"VC"
"7","A","2020-09-04",208,208,0,0,0,"VC"
"8","A","2020-09-03",199,199,0,0,0,"VC"
"9","A","2020-09-01",182,182,0,0,0,"VC"
"10","A","2020-06-06",1,1,0,0,0,"VC"
"11","A","2020-04-18",73,14,58,0,1,"VC"
"12","A","2020-04-20",29,9,20,0,0,"VC"
"13","A","2020-04-17",26,12,14,0,0,"VC"
"14","A","2020-04-09",39,24,12,0,3,"VC"
"15","A","2020-08-08",80,80,0,0,0,"VC"
"16","A","2020-09-05",163,163,0,0,0,"VC"
"17","A","2020-06-15",2,2,0,0,0,"VC"
"18","A","2020-04-21",92,16,76,0,0,"VC"
"19","A","2020-04-13",30,14,15,0,1,"VC"
"20","A","2020-05-11",7,7,0,0,0,"VC"
"21","A","2020-03-06",30,24,6,0,0,"VC"
"22","A","2020-02-04",1,0,1,0,0,"VC"
"23","A","2020-08-31",180,180,0,0,0,"VC"
"24","A","2020-02-18",2,1,1,0,0,"VC"
"25","A","2020-02-17",1,1,0,0,0,"VC"
"26","A","2020-08-30",118,118,0,0,0,"VC"
"27","A","2020-08-09",55,55,0,0,0,"VC"
"28","A","2020-04-29",63,17,46,0,0,"VC"
"29","A","2020-05-27",3,3,0,0,0,"VC"
"30","A","2020-04-15",38,19,19,0,0,"VC"
"31","A","2020-02-29",10,8,2,0,0,"VC"
"32","A","2020-05-12",8,8,0,0,0,"VC"
"33","A","2020-03-20",239,215,22,0,2,"VC"
"34","A","2020-02-12",0,0,0,0,0,"VC"
"35","A","2020-02-19",2,1,1,0,0,"VC"
"36","A","2020-04-04",37,30,6,0,1,"VC"
"37","A","2020-04-19",16,1,15,0,0,"VC"
"38","A","2020-07-01",5,5,0,0,0,"VC"
"39","A","2020-02-02",0,0,0,0,0,"VC"
"40","A","2020-04-30",62,5,57,0,0,"VC"
"41","A","2020-02-16",1,1,0,0,0,"VC"
"42","A","2020-05-14",10,10,0,0,0,"VC"
"43","A","2020-04-23",109,19,90,0,0,"VC"
"44","A","2020-04-22",84,14,70,0,0,"VC"
"45","A","2020-06-07",1,1,0,0,0,"VC"
"46","A","2020-02-13",2,1,1,0,0,"VC"
"47","A","2020-02-20",3,0,3,0,0,"VC"
"48","A","2020-03-19",208,186,20,0,2,"VC"
"49","A","2020-07-03",1,1,0,0,0,"VC"
"50","A","2020-02-03",1,0,1,0,0,"VC"
"51","A","2020-02-10",2,1,1,0,0,"VC"
"52","A","2020-05-01",38,4,34,0,0,"VC"
"53","A","2020-04-10",35,28,7,0,0,"VC"
"54","A","2020-05-15",2,2,0,0,0,"VC"
"55","A","2020-04-24",127,18,109,0,0,"VC"
"56","A","2020-06-16",1,1,0,0,0,"VC"
"57","A","2020-03-01",18,13,5,0,0,"VC"
"58","A","2020-04-14",29,13,14,0,2,"VC"
"59","A","2020-02-21",2,1,1,0,0,"VC"
"60","A","2020-06-27",0,0,0,0,0,"VC"
"61","A","2020-01-31",0,0,0,0,0,"VC"
"62","A","2020-08-12",112,112,0,0,0,"VC"
"63","A","2020-02-11",0,0,0,0,0,"VC"
"64","A","2020-05-02",49,9,38,0,2,"VC"
"65","A","2020-04-11",27,15,10,0,2,"VC"
"66","A","2020-09-20",20,20,0,0,0,"VC"
"67","A","2020-03-03",14,8,5,0,1,"VC"
"68","A","2020-09-06",153,153,0,0,0,"VC"
"69","A","2020-02-08",0,0,0,0,0,"VC"
"70","A","2020-05-06",4,2,2,0,0,"VC"
"71","A","2020-05-13",4,4,0,0,0,"VC"
"72","A","2020-03-21",166,148,15,0,3,"VC"
"73","A","2020-03-07",22,18,4,0,0,"VC"
"74","A","2020-02-05",2,0,2,0,0,"VC"
"75","A","2020-04-05",28,23,4,0,1,"VC"
"76","A","2020-03-18",194,168,19,0,7,"VC"
"77","A","2020-07-02",5,5,0,0,0,"VC"
"78","A","2020-03-04",17,14,3,0,0,"VC"
"79","A","2020-08-10",114,114,0,0,0,"VC"
"80","A","2020-08-17",169,169,0,0,0,"VC"
"81","A","2020-05-28",1,1,0,0,0,"VC"
"82","A","2020-06-29",2,2,0,0,0,"VC"
"83","A","2020-02-23",2,2,0,0,0,"VC"
"84","A","2020-06-08",2,2,0,0,0,"VC"
"85","A","2020-03-08",48,41,7,0,0,"VC"
"86","A","2020-04-27",18,4,14,0,0,"VC"
"87","A","2020-04-06",39,30,9,0,0,"VC"
"88","A","2020-05-04",18,1,17,0,0,"VC"
"89","A","2020-07-24",40,40,0,0,0,"VC"
"90","A","2020-03-05",26,20,5,0,1,"VC"
"91","A","2020-08-11",119,119,0,0,0,"VC"
"92","A","2020-08-18",154,154,0,0,0,"VC"
"93","A","2020-03-16",235,209,23,0,3,"VC"
"94","A","2020-09-19",45,45,0,0,0,"VC"
"95","A","2020-08-29",167,167,0,0,0,"VC"
"96","A","2020-03-02",21,16,5,0,0,"VC"
"97","A","2020-08-15",112,112,0,0,0,"VC"
"98","A","2020-02-14",2,2,0,0,0,"VC"
"99","A","2020-04-07",28,21,7,0,0,"VC"
"100","A","2020-05-05",13,5,8,0,0,"VC"
"101","A","2020-07-04",0,0,0,0,0,"VC"
"102","A","2020-04-03",63,57,6,0,0,"VC"
"103","A","2020-09-09",202,202,0,0,0,"VC"
"104","A","2020-08-19",171,171,0,0,0,"VC"
"105","A","2020-03-17",209,191,13,0,5,"VC"
"106","A","2020-07-29",86,86,0,0,0,"VC"
"107","A","2020-06-10",1,1,0,0,0,"VC"
"108","A","2020-06-17",2,2,0,0,0,"VC"
"109","A","2020-08-16",130,130,0,0,0,"VC"
"110","A","2020-03-14",183,167,12,0,4,"VC"
"111","A","2020-02-22",1,1,0,0,0,"VC"
"112","A","2020-06-28",2,2,0,0,0,"VC"
"113","A","2020-03-28",100,90,9,0,1,"VC"
"114","A","2020-08-13",116,116,0,0,0,"VC"
"115","A","2020-09-10",188,188,0,0,0,"VC"
"116","A","2020-05-03",23,2,20,0,1,"VC"
"117","A","2020-04-12",10,8,2,0,0,"VC"
"118","A","2020-09-21",5,5,0,0,0,"VC"
"119","A","2020-04-01",75,62,13,0,0,"VC"
"120","A","2020-09-07",203,203,0,0,0,"VC"
"121","A","2020-02-09",0,0,0,0,0,"VC"
"122","A","2020-05-07",9,1,8,0,0,"VC"
"123","A","2020-07-27",69,69,0,0,0,"VC"
"124","A","2020-03-22",163,145,15,0,3,"VC"
"125","A","2020-07-13",15,15,0,0,0,"VC"
"126","A","2020-02-06",1,1,0,0,0,"VC"
"127","A","2020-05-25",1,1,0,0,0,"VC"
"128","A","2020-08-21",194,194,0,0,0,"VC"
"129","A","2020-06-01",4,4,0,0,0,"VC"
"130","A","2020-09-22",0,0,0,0,0,"VC"
"131","A","2020-04-02",58,45,12,0,1,"VC"
"132","A","2020-09-08",200,200,0,0,0,"VC"
"133","A","2020-05-29",2,2,0,0,0,"VC"
"134","A","2020-06-30",3,3,0,0,0,"VC"
"135","A","2020-02-24",8,6,2,0,0,"VC"
"136","A","2020-06-09",2,2,0,0,0,"VC"
"137","A","2020-03-09",67,56,10,0,1,"VC"
"138","A","2020-04-28",49,19,30,0,0,"VC"
"139","A","2020-07-18",27,27,0,0,0,"VC"
"140","A","2020-08-22",164,164,0,0,0,"VC"
"141","A","2020-07-25",49,49,0,0,0,"VC"
"142","A","2020-06-13",0,0,0,0,0,"VC"
"143","A","2020-05-16",5,5,0,0,0,"VC"
"144","A","2020-04-25",38,14,24,0,0,"VC"
"145","A","2020-07-22",42,42,0,0,0,"VC"
"146","A","2020-05-09",3,2,1,0,0,"VC"
"147","A","2020-02-25",2,1,1,0,0,"VC"
"148","A","2020-03-31",77,65,10,0,2,"VC"
"149","A","2020-05-20",6,6,0,0,0,"VC"
"150","A","2020-09-13",82,82,0,0,0,"VC"
"151","A","2020-06-03",1,1,0,0,0,"VC"
"152","A","2020-08-23",152,152,0,0,0,"VC"
"153","A","2020-07-05",3,3,0,0,0,"VC"
"154","A","2020-06-14",0,0,0,0,0,"VC"
"155","A","2020-05-17",2,2,0,0,0,"VC"
"156","A","2020-08-20",157,157,0,0,0,"VC"
"157","A","2020-07-23",34,34,0,0,0,"VC"
"158","A","2020-07-30",57,57,0,0,0,"VC"
"159","A","2020-06-11",1,1,0,0,0,"VC"
"160","A","2020-06-18",2,2,0,0,0,"VC"
"161","A","2020-09-14",173,173,0,0,0,"VC"
"162","A","2020-03-15",215,184,26,0,5,"VC"
"163","A","2020-06-04",1,1,0,0,0,"VC"
"164","A","2020-08-24",201,201,0,0,0,"VC"
"165","A","2020-03-29",60,48,11,0,1,"VC"
"166","A","2020-08-14",129,129,0,0,0,"VC"
"167","A","2020-09-11",174,174,0,0,0,"VC"
"168","A","2020-06-22",1,1,0,0,0,"VC"
"169","A","2020-09-18",32,32,0,0,0,"VC"
"170","A","2020-07-31",62,62,0,0,0,"VC"
"171","A","2020-06-12",3,3,0,0,0,"VC"
"172","A","2020-06-19",1,1,0,0,0,"VC"
"173","A","2020-09-15",100,100,0,0,0,"VC"
"174","A","2020-05-08",8,1,7,0,0,"VC"
"175","A","2020-07-28",52,52,0,0,0,"VC"
"176","A","2020-03-23",166,149,16,0,1,"VC"
"177","A","2020-07-14",12,12,0,0,0,"VC"
"178","A","2020-02-07",0,0,0,0,0,"VC"
"179","A","2020-05-26",7,7,0,0,0,"VC"
"180","A","2020-06-23",1,1,0,0,0,"VC"
"181","A","2020-06-02",1,1,0,0,0,"VC"
"182","A","2020-02-28",9,6,3,0,0,"VC"
"183","A","2020-07-11",7,7,0,0,0,"VC"
"184","A","2020-03-13",181,145,29,0,7,"VC"
"185","A","2020-05-30",0,0,0,0,0,"VC"
"186","A","2020-08-26",180,180,0,0,0,"VC"
"187","A","2020-07-09",6,6,0,0,0,"VC"
"188","A","2020-07-08",9,9,0,0,0,"VC"
"189","A","2020-03-10",120,103,16,0,1,"VC"
"190","A","2020-06-24",1,1,0,0,0,"VC"
"191","A","2020-07-19",22,22,0,0,0,"VC"
"192","A","2020-07-06",4,4,0,0,0,"VC"
"193","A","2020-07-26",55,55,0,0,0,"VC"
"194","A","2020-08-02",63,63,0,0,0,"VC"
"195","A","2020-07-12",6,6,0,0,0,"VC"
"196","A","2020-04-26",16,4,12,0,0,"VC"
"197","A","2020-05-31",0,0,0,0,0,"VC"
"198","A","2020-05-10",3,3,0,0,0,"VC"
"199","A","2020-02-26",3,3,0,0,0,"VC"
"200","A","2020-05-22",8,8,0,0,0,"VC"
"201","A","2020-05-21",3,3,0,0,0,"VC"
"202","A","2020-06-25",2,2,0,0,0,"VC"
"203","A","2020-07-20",32,32,0,0,0,"VC"
"204","A","2020-03-30",73,64,8,0,1,"VC"
"205","A","2020-09-12",113,113,0,0,0,"VC"
"206","A","2020-08-03",70,70,0,0,0,"VC"
"207","A","2020-05-18",3,3,0,0,0,"VC"
"208","A","2020-07-10",4,4,0,0,0,"VC"
"209","A","2020-08-01",72,72,0,0,0,"VC"
"210","A","2020-08-28",177,177,0,0,0,"VC"
